"0_eRNA"	"1_eRNA"	"10_eRNA"	"11_eRNA"	"12_eRNA"	"13_eRNA"	"14_eRNA"	"15_eRNA"	"2_eRNA"	"3_eRNA"	"4_eRNA"	"5_eRNA"	"6_eRNA"	"7_eRNA"	"8_eRNA"	"9_eRNA"
"LOC101154783"	8	12	17	1	5345	5543	6728	4917	0	0	2	1	1	0	3	1
"LOC101154784"	48	19	2	6	458	301	171	618	15	15	0	0	0	1	9	7
"LOC101154788"	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0
"LOC101154789"	61	26	6	12	13729	12506	14074	14014	12	4	8	3	26	8	16	26
"LOC101154790"	0	0	0	0	52	57	83	89	0	0	0	0	0	0	0	0
"LOC101154791"	0	0	0	0	76	210	140	127	0	0	0	0	0	0	0	0
"LOC101154792"	0	0	0	0	13	14	18	15	0	0	0	0	0	0	0	0
"LOC101154795"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101154797"	0	0	0	0	544	508	317	494	0	0	0	0	0	0	0	0
"LOC101154798"	0	0	0	0	357	301	264	232	0	0	0	0	0	0	0	0
"LOC101154807"	0	0	0	0	4	3	5	8	0	0	0	0	0	0	0	0
"LOC101154808"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101154810"	0	0	0	0	69	68	114	88	0	0	0	0	0	0	0	0
"LOC101154811"	0	0	0	0	5	0	0	11	0	0	0	0	0	0	0	0
"LOC101154812"	24	0	0	0	5572	5981	5606	6163	6	16	0	2	3	1	4	4
"LOC101154816"	0	0	0	0	0	7	12	15	0	0	0	0	0	0	0	0
"LOC101154817"	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
"LOC101154818"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"LOC101154830"	0	0	0	0	8	10	8	6	0	0	0	0	0	0	0	0
"LOC101154833"	104	35	7	6	8155	7157	11236	9958	53	35	2	3	3	0	12	27
"LOC101154838"	0	3	0	0	10	24	16	5	0	0	0	0	0	0	0	0
"LOC101154839"	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0
"LOC101154840"	0	0	0	0	1	5	14	13	0	0	0	0	0	0	0	0
"LOC101154844"	35	15	1	4	695	685	361	1290	8	5	0	0	0	0	4	2
"LOC101154846"	45	4	2	1	18189	18421	18279	20877	0	4	6	0	8	4	2	10
"LOC101154847"	4	6	0	0	1184	1105	1892	1085	0	0	0	0	0	0	0	0
"LOC101154851"	11	7	0	3	1144	1119	1133	1260	8	26	0	0	0	0	1	0
"LOC101154856"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101154857"	0	0	0	0	171	206	285	205	0	0	2	0	0	0	0	0
"LOC101154859"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
"LOC101154860"	0	0	0	0	2	0	25	0	0	0	0	0	0	0	0	0
"LOC101154863"	3	2	1	0	328	318	258	668	1	0	0	0	0	0	3	2
"LOC101154865"	1	0	0	1	446	474	623	585	0	0	0	0	0	0	0	0
"LOC101154866"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101154874"	15	0	0	0	23	4	15	5	0	0	0	0	0	0	0	0
"LOC101154876"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101154878"	1	1	0	0	963	1022	1471	1329	0	0	0	0	1	0	1	0
"LOC101154880"	11	14	0	0	1146	844	529	1057	0	0	0	0	0	0	0	3
"LOC101154882"	0	1	0	0	270	319	443	394	0	1	5	0	0	0	0	0
"LOC101154883"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"LOC101154885"	0	0	0	0	0	0	3	9	0	0	0	0	0	0	0	0
"LOC101154888"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101154889"	1	0	0	1	93	136	127	324	0	0	0	0	0	0	0	1
"LOC101154892"	2	14	0	5	1054	1043	1726	1178	0	0	0	0	1	0	0	1
"LOC101154894"	25	0	2	1	1885	2730	3311	2490	1	3	0	2	0	0	4	11
"LOC101154896"	2	4	0	3	23	2	18	3	1	2	0	0	0	0	0	0
"LOC101154902"	0	0	0	0	1	4	3	10	0	0	0	0	0	0	0	0
"LOC101154905"	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0
"LOC101154906"	2	0	0	1	1469	1413	1181	1465	0	0	0	5	0	0	0	2
"LOC101154908"	21	1	9	1	109	85	153	246	1	4	0	0	0	0	4	4
"LOC101154912"	0	0	0	0	19	9	44	2	0	0	0	0	0	0	0	0
"LOC101154926"	0	0	0	0	19	13	95	20	0	0	0	0	0	0	0	0
"LOC101154928"	3	4	0	0	194	166	287	171	0	3	0	0	0	0	0	0
"LOC101154931"	796	290	10	32	20	13	6	45	2	76	5	23	5	0	47	95
"LOC101154936"	5	0	0	0	29	19	42	36	0	0	0	0	0	0	0	0
"LOC101154942"	3	2	2	0	331	209	130	399	13	4	0	2	0	1	1	9
"LOC101154948"	1	0	0	0	310	302	256	305	0	0	0	0	0	0	0	0
"LOC101154949"	0	0	0	0	18	21	120	42	0	0	0	0	0	0	0	0
"LOC101154950"	1	0	0	0	111	113	204	150	0	0	0	0	0	0	0	0
"LOC101154951"	1	0	0	2	913	680	1142	1104	0	0	0	0	0	0	3	0
"LOC101154954"	0	2	11	0	910	626	774	1116	0	0	0	0	0	1	0	0
"LOC101154957"	7	0	1	11	1347	1290	1276	1872	26	8	0	0	0	0	2	2
"LOC101154959"	2	0	0	0	100	173	269	152	0	0	0	0	0	0	0	0
"LOC101154961"	211	35	5	6	8335	9766	11137	9804	84	40	2	2	1	0	24	34
"LOC101154963"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"LOC101154965"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101154966"	0	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0
"LOC101154967"	4	3	0	0	352	379	494	530	8	0	0	0	0	0	0	0
"LOC101154969"	0	0	0	0	8	10	11	26	0	0	0	0	0	0	0	0
"LOC101154972"	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
"LOC101154973"	0	0	0	0	4	20	22	6	0	0	0	0	0	0	0	0
"LOC101154974"	0	0	0	0	50	19	51	29	0	0	0	0	0	0	0	0
"LOC101154977"	43	9	0	0	17	16	18	5	0	0	1	3	0	0	1	2
"LOC101154978"	0	0	0	0	3616	3063	2910	3911	0	0	0	0	1	0	0	0
"LOC101154981"	2	0	0	0	317	419	552	401	0	10	0	0	0	2	0	0
"LOC101154983"	11	7	0	0	553	401	555	531	9	0	4	0	0	0	1	0
"LOC101154986"	40	0	2	7	1460	1502	2569	1803	1	2	1	1	0	0	5	6
"LOC101154988"	3	0	0	0	178	275	338	335	0	1	0	0	0	3	0	0
"LOC101154993"	0	0	0	0	7	0	30	26	0	0	0	0	0	0	0	0
"LOC101154996"	0	0	0	0	166	111	192	212	0	0	0	0	0	0	0	0
"LOC101154998"	11	4	0	0	45	34	77	150	7	5	0	1	0	0	5	2
"LOC101155003"	0	0	0	0	70	111	164	118	0	0	0	0	0	0	0	0
"LOC101155004"	1	0	0	1	231	234	291	335	1	2	0	0	0	0	1	0
"LOC101155005"	0	0	1	0	1431	2848	2684	3151	0	0	0	0	0	0	0	0
"LOC101155008"	6	2	6	0	10	24	39	29	0	0	0	0	0	0	0	1
"LOC101155010"	0	0	0	0	23	73	89	84	0	0	0	0	0	0	0	0
"LOC101155012"	19	2	1	2	293	297	424	509	0	5	0	1	1	1	1	5
"LOC101155013"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101155014"	0	0	0	0	0	5	2	4	0	0	0	0	0	0	0	0
"LOC101155015"	81	3	9	5	210	227	256	401	36	11	0	0	0	2	5	8
"LOC101155016"	459	222	37	42	1433	1286	2112	1787	141	169	11	6	13	4	72	122
"LOC101155019"	2	0	0	0	300	303	434	314	0	0	0	0	0	0	0	0
"LOC101155022"	800	78	88	82	2390	1899	1710	3254	176	238	8	7	8	4	102	133
"LOC101155023"	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
"LOC101155024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101155025"	17	0	2	0	304	439	662	433	13	0	0	0	0	0	3	5
"LOC101155027"	5	0	0	0	76	42	98	68	0	0	0	0	0	0	0	0
"LOC101155030"	59	22	0	0	410	741	922	400	1	11	1	2	0	0	1	19
"LOC101155031"	11	1	0	1	1332	977	1155	1419	0	4	0	0	2	0	2	7
"LOC101155032"	533	107	59	58	4594	2904	1809	3850	169	80	4	7	7	6	67	113
"LOC101155034"	0	0	0	0	53	21	61	24	0	0	0	0	0	0	0	0
"LOC101155035"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101155036"	4	0	0	0	265	196	56	283	1	0	0	0	0	0	1	0
"LOC101155037"	0	0	0	0	1610	1367	1172	1463	0	0	0	0	0	0	0	0
"LOC101155040"	14	2	0	0	67	68	222	61	0	0	1	0	0	0	1	1
"LOC101155043"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101155046"	18	4	0	5	3729	3779	6018	3607	7	0	7	0	0	2	3	4
"LOC101155047"	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
"LOC101155048"	5	0	0	0	361	264	244	342	0	0	0	0	1	0	0	0
"LOC101155054"	0	0	0	0	34	35	29	57	0	0	0	0	0	0	0	0
"LOC101155055"	0	0	0	0	60	29	11	29	0	0	0	0	0	0	0	0
"LOC101155057"	0	0	0	0	333	172	251	398	0	0	0	0	0	0	0	0
"LOC101155059"	0	0	3	0	0	1	1	2	0	0	0	0	0	0	0	0
"LOC101155061"	0	0	0	0	12	20	12	22	0	0	0	0	0	0	0	0
"LOC101155062"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"LOC101155065"	18	2	2	5	674	484	600	756	2	5	0	0	0	2	0	7
"LOC101155067"	311	45	22	16	565	806	849	914	87	106	2	6	14	2	28	69
"LOC101155075"	0	0	0	0	126	149	93	191	0	0	0	0	0	0	0	0
"LOC101155076"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101155077"	3	0	0	0	689	642	404	447	0	0	0	0	0	0	0	0
"LOC101155085"	1	0	0	0	146	159	137	150	0	0	0	0	0	1	0	2
"LOC101155086"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"LOC101155094"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101155101"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101155103"	0	0	0	0	21	9	18	37	0	0	0	0	0	0	0	0
"LOC101155104"	9	11	2	1	131	114	73	127	7	14	0	0	0	0	2	1
"LOC101155107"	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"LOC101155110"	39	9	4	14	1035	1062	1204	1765	35	25	1	0	4	0	6	9
"LOC101155111"	14	15	1	0	3032	3028	3841	3111	2	11	1	1	1	0	4	14
"LOC101155118"	3	0	0	0	10	4	15	12	0	0	0	0	0	0	0	0
